feature,split,gain
spx_ret_3m,879,14637.972560465336
vix_level,805,12996.6263833642
month_of_year,531,8669.79265064001
sector_etf_ret_3m,644,7193.79985076189
dollar_volume_signal_day,589,6372.61888307333
ret_6m,543,6173.94041544199
ret_12m,526,5991.09132027626
ann_vol_60d,477,5847.0943031311035
stock_minus_sector_ret_3m,557,5600.39400935173
pct_from_52w_low,517,5515.70268625021
mfi_14d,538,5445.843470454216
atr_pct_20d,460,5068.68748319149
vol_ratio_20_60,477,5047.083982646465
hurst_100d,470,5027.098298668861
up_down_volume_ratio_20d,489,5002.619989037514
volume_ratio_20d,545,4982.076822638512
volume_zscore_60d,480,4890.477421879768
max_dd_60d,460,4782.367906093597
ema_spread_5_20,376,4744.545281589031
pct_from_52w_high,437,4683.159001529217
ret_1m,434,4666.740787923336
garch_vol_forecast,453,4657.204450905323
days_since_prev_signal,474,4599.5835039019585
ema_spread_5_90,424,4262.464460611343
ret_3m,387,4060.2593064904213
ema_spread_5_60,368,3984.0368601083755
consec_up_days,123,942.7018623352051
spx_above_200ma_flag,37,469.5956132411957
